energy,tempo,danceability,loudness,liveness,valence,instrumentalness,speechiness,acousticness,track_popularity,track_name,track_artist,track_album_name,track_album_release_date,playlist_genre,playlist_subgenre,mode,key
0.0545,140.966,0.194,-24.877,0.0551,0.0385,0.945,0.0366,0.983,60,"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto","Sergei Rachmaninoff, Valentina Lisitsa, London Symphony Orchestra, Michael Francis",Rachmaninov: Piano Concerto No.2,2012-01-01,classical,essential,1.0,4.0
0.0142,76.382,0.341,-28.293,0.113,0.0384,0.921,0.0388,0.993,53,"Ständchen in D Minor (After Schubert), S. 560","Franz Liszt, Lise de la Salle",Liszt,2011-08-23,classical,essential,1.0,2.0
0.0292,136.732,0.279,-26.804,0.104,0.0338,0.902,0.0406,0.987,60,"Liebestraum No. 3 in A-Flat Major, S. 541 / 3","Franz Liszt, Lang Lang",Liszt - My Piano Hero,2011-07-25,classical,essential,1.0,8.0
0.339,90.041,0.53,-16.973,0.102,0.0719,0.874,0.0419,0.567,58,Palladio: 1. Allegretto (arr. for Strings Orchestra),"Karl Jenkins, Carmine Lauri, David Alberman, London Symphony Orchestra",Quirk,2008,classical,essential,0.0,2.0
0.00527,170.612,0.184,-37.264,0.173,0.151,0.887,0.0432,0.995,68,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","Ludwig van Beethoven, Paul Lewis","Beethoven: Piano Sonatas, Vol.3",2007-09-25,classical,essential,0.0,1.0
0.139,139.478,0.366,-19.978,0.0725,0.31,0.913,0.039,0.885,49,Eine kleine Nachtmusik K. 525: Allegro,"Wolfgang Amadeus Mozart, Andrew Watkinson",Mozart: Eine Kleine Nachtmusik,1998,classical,essential,1.0,7.0
0.0639,120.736,0.235,-24.404,0.466,0.0781,0.603,0.049,0.962,57,Scheherazade: The Tale of the Kalendar Prince,"Nikolai Rimsky-Korsakov, Lars Hjalmar Joakim",Rimsky-Korsakov: Scheherezade,1999-02-01,classical,essential,0.0,11.0
0.0047,163.665,0.225,-30.928,0.0722,0.186,0.881,0.0509,0.992,65,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.","Frédéric Chopin, Mikhail Pletnev","Chopin: Piano Sonata No. 2, Nocturnes, Barcarolle & Scherzo",2000-01-01,classical,essential,0.0,1.0
0.254,133.808,0.353,-16.205,0.0843,0.0986,0.859,0.0349,0.948,44,"Piano Concerto No. 3 in C, Op. 26: 1. Andante - Allegro","Sergei Prokofiev, Behzod Abduraimov, Orchestra Sinfonica Nazionale Della RAI, Juraj Valcuha",Tchaikovsky: Piano Concerto No.1; Prokofiev: Piano Concerto No.3,2014-01-01,classical,essential,1.0,0.0
0.178,95.839,0.374,-15.758,0.0754,0.148,0.0235,0.0389,0.92,47,"Zadok the Priest (Coronation Anthem No. 1, HWV 258)","George Frideric Handel, Trevor Pinnock, The English Concert, Simon Preston, The Choir Of Westminster Abbey",Handel: Coronation Anthems; Concerti a Due Cori,1995-01-01,classical,essential,1.0,1.0
0.341,105.513,0.701,-12.26,0.359,0.163,0.903,0.0418,0.499,62,Spring 1 - 2012,"Max Richter, Daniel Hope, Konzerthaus Kammerorchester Berlin, Andre de Ridder","Recomposed By Max Richter: Vivaldi, The Four Seasons",2014-01-01,classical,essential,0.0,1.0
0.0851,129.103,0.307,-20.471,0.101,0.0388,0.872,0.0399,0.968,45,"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato - Radio Edit","Edvard Grieg, Alexandra Dariescu, Philharmonia Orchestra, Tianyi Lu","Grieg: Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato (Radio Edit)",2024-07-16,classical,essential,0.0,9.0
0.682,169.325,0.323,-10.208,0.127,0.646,0.647,0.062,0.763,47,William Tell Overture,"Gioachino Rossini, Arthur Fiedler, Boston Pops Orchestra","I don't like classical music, but I really like this!",2014-06-13,classical,essential,1.0,4.0
0.27,129.095,0.263,-16.85,0.0562,0.228,0.865,0.0348,0.876,46,"Bizet: Carmen, WD 31: Prélude","Georges Bizet, Michel Plasson, Orchestre National Du Capitole De Toulouse",Bizet: Carmen,2003-02-25,classical,essential,0.0,2.0
0.0733,73.954,0.102,-24.133,0.28,0.0308,0.859,0.0488,0.974,55,Barber: Adagio for Strings,"Samuel Barber, Sir Simon Rattle, Berliner Philharmoniker",Samuel Barber - Adagio,2010-01-18,classical,essential,0.0,10.0
0.0116,65.057,0.0623,-27.893,0.0816,0.0331,0.445,0.0567,0.991,49,O Magnum Mysterium: O magnum mysterium,"Morten Lauridsen, Chamber Choir Of Europe, Nicol Matt",Lauridsen: O Magnum Mysterium / Lux Aeterna / Madrigali / Les Chansons Des Roses,2006-01-01,classical,essential,1.0,2.0
